agentid,yearnumber,weeknumber,Lotto,Lotto Plus1,Euro Millions,Euro Millions Plus,ScratchCard
fa9962f5,2016,16,709,178.5,185,67,910.98
90b9e320,2016,17,1138,273,325,151,1063.08
75c913e2,2016,15,656,154,574,187,756.18
6f347cb7,2016,15,454,111,156,64,649.98
a20f8019,2016,16,595,138,390,152,0
c83c4317,2016,13,1519,351,736,345,1587.06
8d253b26,2016,17,680,168,259,114,577.08
899ecbc0,2016,15,693,168.5,782,299,657
43ca960b,2016,13,1364,335,658,244,2553.12
4db753be,2016,17,1142,241,408,132,543.96
7ae7551a,2016,15,535,128.5,222,104,31.5
140f454b,2016,15,374,80.5,255,102,893.16
d91d5e89,2016,17,1683,355.5,487,153,846
ab988e65,2016,16,976,208,478,178,739.08
62f7bbfe,2016,14,303,70.5,202,71,0
87ad2bdd,2016,13,946,220.5,669,300,0
61ce2ec0,2016,13,390,97.5,143,69,1171.98
02779e4b,2016,13,221,54.5,174,62,613.98
7ad0c26b,2016,13,827,198.5,461,155,379.98
e8236640,2016,13,650,154,250,100,865.08
55c4b51c,2016,13,395,98,231,121,270
13ac7030,2016,17,2332,572,912,361,1225.08
39adcd82,2016,16,442,107,356,169,894.06
7c9d55c3,2016,15,1181,292,677,295,1985.04
37ba6393,2016,13,6448,1527,2748,1126,3320.1
5203ac3b,2016,16,343,80,206,84,0
030afbcf,2016,16,752,171.5,261,100,829.98
121663c5,2016,16,911,220,456,187,755.1
49d3b20a,2016,14,2177,479,1173,428,2531.16
c90ac0cf,2016,14,746,174.5,252,99,649.98
565ac962,2016,13,817,203.5,415,155,1306.08
658aaf15,2016,13,192,47,46,18,0
b51550cd,2016,15,2036,321,690,257,1423.98
e0c236a7,2016,13,999,247.5,375,172,991.08
5936f078,2016,14,748,162,360,154,260.1
194e022e,2016,15,525,130,347,148,694.98
6156ee51,2016,15,744,171,517,209,1785.06
0c64c212,2016,15,1524,353.5,835,330,1045.08
ed8c3b46,2016,16,1732,400.5,934,456,2917.26
b5f8c17a,2016,14,207,43,95,30,216
3bddbf60,2016,17,203,47.5,126,58,1306.08
3b81602c,2016,16,346,84,126,65,514.98
a96e385f,2016,17,437,100,121,54,351
ce6fd893,2016,13,150,38.5,84,38,0
eab5e128,2016,17,431,101.5,252,111,379.98
d98fb3db,2016,17,1905,474,835,388,2802.24
8147eead,2016,13,123,30.5,66,29,379.98
ae24c1e0,2016,16,1266,310,894,386,1945.08
f582897d,2016,16,446,100,187,79,0
e9f79137,2016,14,1176,296,467,226,694.08
20501b46,2016,13,880,216,412,178,1241.1
dbd36c32,2016,14,727,173.5,250,116,379.98
2fb6eafc,2016,14,1074,266,344,143,1693.08
23e19373,2016,17,821,184.5,426,131,1028.16
d73d44c5,2016,16,360,88,228,75,0
eeeacc0e,2016,15,1330,308.5,540,274,838.08
e9d0f95e,2016,16,486,118,261,118,170.1
54806684,2016,16,143,34.5,73,39,476.1
0e25502b,2016,16,1001,245.5,585,262,2521.08
95175448,2016,13,725,181.5,217,104,640.08
8c33aa64,2016,13,266,64,231,46,0
f6606273,2016,15,834,208.5,414,178,1225.08
422f6cae,2016,16,317,58,101,54,163.98
376c1963,2016,14,993,239,1065,219,163.98
a3c17fd8,2016,14,719,168.5,916,386,469.98
3a29c0db,2016,13,284,72.5,191,90,334.08
ac99c4c5,2016,16,1877,433,666,243,1074.96
aa3f4bfe,2016,17,243,59.5,88,47,298.98
efb78919,2016,17,872,207.5,366,135,631.98
0af5c416,2016,15,3769,907.5,1725,770,2552.04
d473b644,2016,15,354,87.5,189,88,0
256b034f,2016,16,1389,321.5,568,238,1747.08
3558e6f4,2016,15,740,176,529,222,1331.1
648c23eb,2016,14,1748,418,664,290,2135.16
f0b1f35f,2016,13,1285,287.5,570,252,1360.08
57caae3d,2016,16,352,82,128,30,469.98
a86afe72,2016,17,1279,303,428,192,1155.06
0848156d,2016,17,245,60,121,58,204.2028
981b5fd7,2016,14,337,83,235,100,0
710ed444,2016,15,548,137,270,92,919.08
d850b2e8,2016,13,868,195,377,167,775.08
b3f2eaa6,2016,16,2240,503.5,1083,405,1551.06
d363f110,2016,17,1146,260,412,130,874.08
f893338e,2016,15,192,46,66,28,305.1
ae61489f,2016,16,3984,938.5,1759,635,3764.16
d1804d39,2016,13,1407,327,594,260,901.98
b4487a47,2016,13,425,105.5,207,92,1270.08
9c3c1082,2016,16,1715,389,892,254,703.98
ef7b0085,2016,16,1324,307,425,219,1452.06
618a17b7,2016,16,1470,258.5,314,148,396
8c918886,2016,13,1421,354,651,307,775.98
7cf0fb62,2016,15,1336,329.5,612,284,1009.98
da851fb0,2016,16,339,84.5,104,51,163.98
28427507,2016,14,490,124,220,105,872.1
c057a4f6,2016,16,493,117,426,200,883.98
41468472,2016,13,574,126,393,134,0
86300e1b,2016,15,1036,257,450,215,768.78
dbf8542b,2016,15,595,141.5,369,149,163.98
678dd183,2016,13,366,90.5,261,112,487.98
9d63251e,2016,13,1089,256,522,208,964.08
618640f1,2016,16,2054,427,1961,628,2801.16
99b24d83,2016,13,386,96.5,171,86,613.98
5f5a22ad,2016,14,147,37.5,112,46,163.98
58551544,2016,16,1076,230,506,198,0
9e3ae359,2016,13,1889,413.5,1058,422,1434.06
7e86f02c,2016,15,297,51.5,132,53,0
f065d590,2016,15,1027,257,669,288,1261.08
5c3c6b9a,2016,17,715,161.5,568,204,165.8862
4a027c4f,2016,17,544,133,226,118,315
3cbcc8b6,2016,13,558,135,318,137,1054.08
7717746e,2016,16,521,116.5,235,114,163.98
0cfef722,2016,16,925,205.5,402,171,0
891c4794,2016,17,903,212.5,575,235,1216.08
fd244be7,2016,14,707,175.5,312,145,802.08
95f0a74b,2016,14,676,155,379,131,982.98
687dbe99,2016,16,1689,421.5,710,331,1236.06
e90ca4bc,2016,15,1168,289.5,583,218,540
e91ea80b,2016,15,158,38.5,117,46,135
8b4ddd43,2016,15,4549,1095,2419,983,1964.16
9f01c7c6,2016,13,358,88.5,139,74,405
f10a170b,2016,15,4161,902.5,1694,677,1226.16
261a30c1,2016,16,99,25.5,36,16,135
446e634c,2016,15,515,129.5,296,115,1981.08
3623f4da,2016,14,462,112,178,79,1099.98
ff4fd405,2016,17,1354,312,594,230,963
3269b871,2016,13,409,98,287,96,0
c5cb7d8a,2016,16,846,207,329,129,873
16c235c5,2016,13,258,60.5,191,80,0
7c4a10a6,2016,16,989,221,864,306,1099.08
06a9ff96,2016,13,1042,265,476,238,649.98
12c03930,2016,16,607,142.5,570,154,963
77693f97,2016,15,1579,363,598,256,946.08
0572c9ed,2016,13,2595,539.5,932,384,675
ec1959f1,2016,17,1029,231.5,285,115,1342.08
c5f7cc49,2016,14,1963,479,1035,402,1380.06
cd389739,2016,14,1283,295,609,273,828.18
78248d40,2016,13,380,90.5,237,95,0
3a9c22cb,2016,17,686,159.5,292,116,683.1
fd60ea1d,2016,16,188,46.5,73,38,0
b03d472f,2016,16,578,147.5,345,80,2512.98
9730000,2016,13,152,39,128,32,1063.98
dcd13c97,2016,17,348,86,163,85,216
346fac4e,2016,15,633,161.5,391,155,1992.06
863d7913,2016,17,4108,977.5,1065,466,2750.04
34a1cb60,2016,17,2075,495.5,609,294,1369.08
cc6fe012,2016,16,72,17.5,53,25,0
9e7e8655,2016,14,964,222.5,655,244,1884.78
646e7a5a,2016,13,1436,328,513,227,595.98
08b74191,2016,14,1242,292.5,529,227,2297.16
cc134957,2016,14,672,151,264,115,306
e153d00d,2016,13,227,58,84,30,180
31610b93,2016,14,362,89.5,182,82,379.98
be2f6aa7,2016,13,2063,494,914,408,1100.16
de7365da,2016,16,246,58.5,220,74,343.98
4ec090c7,2016,13,1842,445,802,344,1306.08
31802ea2,2016,13,41,10.5,22,12,0
65347d20,2016,16,1393,324.5,482,223,811.98
078ca43e,2016,16,1914,420.5,728,260,694.08
d0ce4390,2016,17,362,86,176,63,0
5a99737a,2016,17,1097,256,544,139,756
8426ed88,2016,16,621,151,215,100,216
9da42f5c,2016,16,1532,373,726,320,559.98
ee04edd9,2016,16,315,77.5,114,51,144
aca35dec,2016,15,1060,253.5,721,336,343.98
79c9b990,2016,15,974,233.5,588,244,685.08
84d1f821,2016,17,3206,743,1116,498,1497.96
e3050756,2016,16,1417,341.5,688,316,0
45c2ca3a,2016,16,292,72.5,117,58,0
b1c1d750,2016,14,472,112.5,185,93,829.08
bef9167f,2016,15,686,169,340,152,388.98
768042d9,2016,13,364,91,261,131,0
667c1e2f,2016,14,442,108.5,281,107,170.1
66d78e67,2016,15,1432,322,730,298,568.98
3d2340dc,2016,16,1350,328.5,542,254,1180.98
dab2139d,2016,16,1963,486,905,348,856.08
0020f634,2016,15,1456,328.5,552,211,2014.92
d2f80cf0,2016,17,1197,253.5,559,211,820.08
50d5e0a3,2016,15,3061,710,1137,501,0
af651497,2016,16,885,209,638,273,813.96
5d8c90ad,2016,16,1254,294.5,767,324,658.98
bbbb45d8,2016,14,1117,273,498,207,1081.08
66e89431,2016,17,589,132.5,217,69,649.98
01f19e07,2016,16,154,38,60,18,-172.8
1b45b01a,2016,14,568,135.5,213,98,0
ce315603,2016,15,1650,381,772,302,784.08
9b6bfdd9,2016,13,343,82.5,104,38,1162.08
2fff211c,2016,15,509,118,298,90,0
d3d11319,2016,15,874,209.5,393,162,1045.98
